state,Denominator,prevalence_per_1000,lower_ci,upper_ci,Prevalence Range,Show Lower and Upper CI,year,data_set
Massachusetts,588781.0,31.8,31.4,32.3,30+,Yes,2022,Medicaid
Massachusetts,1756.0,7.9,4.5,14.0,<10,Yes,2003,National Survey of Children's Health†
Massachusetts,1570.0,23.2,14.4,37.1,20 to <30,Yes,2011,National Survey of Children's Health†
Massachusetts,3111.0,40.0,30.3,52.5,30+,Yes,2020,National Survey of Children's Health†
Massachusetts,1332.0,42.8,30.8,59.3,30+,Yes,2022,National Survey of Children's Health†
Massachusetts,884565.0,0.5,0.5,0.6,<10,Yes,2000,Special Education Child Count
Massachusetts,883908.0,2.8,2.7,2.9,<10,Yes,2001,Special Education Child Count
Massachusetts,890862.0,3.4,3.2,3.5,<10,Yes,2002,Special Education Child Count
Massachusetts,888222.0,4.2,4.1,4.4,<10,Yes,2003,Special Education Child Count
Massachusetts,883936.0,4.8,4.7,5.0,<10,Yes,2004,Special Education Child Count
Massachusetts,879050.0,5.5,5.3,5.6,<10,Yes,2005,Special Education Child Count
Massachusetts,874637.0,6.4,6.2,6.5,<10,Yes,2006,Special Education Child Count
Massachusetts,868555.0,7.4,7.2,7.6,<10,Yes,2007,Special Education Child Count
Massachusetts,862851.0,8.5,8.3,8.7,<10,Yes,2008,Special Education Child Count
Massachusetts,859991.0,9.4,9.2,9.6,<10,Yes,2009,Special Education Child Count
Massachusetts,859444.0,10.6,10.4,10.9,10 to <20,Yes,2010,Special Education Child Count
Massachusetts,856298.0,11.7,11.5,11.9,10 to <20,Yes,2011,Special Education Child Count
Massachusetts,855783.0,13.1,12.9,13.3,10 to <20,Yes,2012,Special Education Child Count
Massachusetts,856567.0,14.4,14.1,14.6,10 to <20,Yes,2013,Special Education Child Count
Massachusetts,858611.0,15.5,15.2,15.7,10 to <20,Yes,2014,Special Education Child Count
Massachusetts,866134.0,16.2,16.0,16.5,10 to <20,Yes,2015,Special Education Child Count
Massachusetts,865940.0,17.4,17.1,17.7,10 to <20,Yes,2016,Special Education Child Count
Massachusetts,856299.0,19.0,18.7,19.3,10 to <20,Yes,2017,Special Education Child Count
Massachusetts,854036.0,20.3,20.0,20.6,20 to <30,Yes,2018,Special Education Child Count
Massachusetts,851175.0,21.5,21.2,21.8,20 to <30,Yes,2019,Special Education Child Count
Massachusetts,839817.0,24.3,24.0,24.7,20 to <30,Yes,2020,Special Education Child Count
Massachusetts,827820.0,26.3,26.0,26.7,20 to <30,Yes,2021,Special Education Child Count
Massachusetts,827670.0,28.3,27.9,28.6,20 to <30,Yes,2022,Special Education Child Count
Michigan,551959.0,5.8,5.6,6.0,<10,Yes,2000,Medicaid
Michigan,592669.0,7.1,6.9,7.3,<10,Yes,2001,Medicaid
Michigan,637087.0,6.6,6.4,6.8,<10,Yes,2002,Medicaid
Michigan,676109.0,6.3,6.1,6.5,<10,Yes,2003,Medicaid
Michigan,708548.0,6.1,5.9,6.3,<10,Yes,2004,Medicaid
Michigan,731817.0,6.2,6.0,6.4,<10,Yes,2005,Medicaid
Michigan,755584.0,6.7,6.5,6.9,<10,Yes,2006,Medicaid
Michigan,765937.0,9.4,9.2,9.7,<10,Yes,2007,Medicaid
Michigan,778851.0,9.0,8.8,9.2,<10,Yes,2008,Medicaid
Michigan,821336.0,6.8,6.7,7.0,<10,Yes,2009,Medicaid
Michigan,856223.0,8.3,8.1,8.5,<10,Yes,2010,Medicaid
Michigan,856842.0,9.3,9.1,9.5,<10,Yes,2011,Medicaid
Michigan,851685.0,10.3,10.1,10.5,10 to <20,Yes,2012,Medicaid
Michigan,843972.0,11.2,11.0,11.5,10 to <20,Yes,2013,Medicaid
Michigan,840285.0,12.0,11.8,12.3,10 to <20,Yes,2016,Medicaid
Michigan,836173.0,14.1,13.9,14.4,10 to <20,Yes,2017,Medicaid
Michigan,837782.0,15.8,15.6,16.1,10 to <20,Yes,2018,Medicaid
Michigan,841576.0,17.2,16.9,17.5,10 to <20,Yes,2019,Medicaid
Michigan,831034.0,17.4,17.1,17.7,10 to <20,Yes,2020,Medicaid
Michigan,876723.0,19.5,19.2,19.8,10 to <20,Yes,2021,Medicaid
Michigan,910632.0,21.7,21.4,22.0,20 to <30,Yes,2022,Medicaid
Michigan,1581.0,15.3,8.6,27.0,10 to <20,Yes,2011,National Survey of Children's Health†
Michigan,2961.0,28.0,19.4,40.2,20 to <30,Yes,2020,National Survey of Children's Health†
Michigan,1444.0,43.3,30.5,61.3,30+,Yes,2022,National Survey of Children's Health†
Michigan,1540035.0,2.4,2.4,2.5,<10,Yes,2000,Special Education Child Count
Michigan,1553056.0,2.8,2.7,2.9,<10,Yes,2001,Special Education Child Count
Michigan,1582807.0,3.2,3.1,3.3,<10,Yes,2002,Special Education Child Count
Michigan,1560463.0,3.7,3.6,3.8,<10,Yes,2003,Special Education Child Count
Michigan,1554020.0,4.3,4.2,4.4,<10,Yes,2004,Special Education Child Count
Michigan,1547451.0,5.1,5.0,5.2,<10,Yes,2005,Special Education Child Count
Michigan,1528322.0,5.9,5.8,6.0,<10,Yes,2006,Special Education Child Count
Michigan,1520173.0,6.6,6.4,6.7,<10,Yes,2007,Special Education Child Count
Michigan,1487974.0,7.4,7.3,7.5,<10,Yes,2008,Special Education Child Count
Michigan,1477988.0,8.0,7.9,8.2,<10,Yes,2009,Special Education Child Count
Michigan,1438099.0,8.7,8.5,8.8,<10,Yes,2010,Special Education Child Count
Michigan,1420628.0,9.1,8.9,9.2,<10,Yes,2011,Special Education Child Count
Michigan,1407009.0,9.5,9.4,9.7,<10,Yes,2012,Special Education Child Count
Michigan,1398112.0,10.0,9.8,10.1,10 to <20,Yes,2013,Special Education Child Count
Michigan,1383880.0,10.3,10.1,10.5,10 to <20,Yes,2014,Special Education Child Count
Michigan,1370009.0,10.8,10.6,11.0,10 to <20,Yes,2015,Special Education Child Count
Michigan,1360566.0,11.2,11.1,11.4,10 to <20,Yes,2016,Special Education Child Count
Michigan,1351386.0,11.9,11.7,12.1,10 to <20,Yes,2017,Special Education Child Count
Michigan,1335297.0,12.4,12.2,12.6,10 to <20,Yes,2018,Special Education Child Count
Michigan,1324030.0,13.0,12.8,13.2,10 to <20,Yes,2019,Special Education Child Count
Michigan,1291764.0,13.9,13.7,14.1,10 to <20,Yes,2020,Special Education Child Count
Michigan,1277807.0,14.5,14.3,14.7,10 to <20,Yes,2021,Special Education Child Count
Michigan,1269885.0,15.8,15.6,16.0,10 to <20,Yes,2022,Special Education Child Count
Minnesota,9767.0,24.0,21.1,27.2,20 to <30,Yes,2014,ADDM Network*
Minnesota,13728.0,22.8,20.4,25.4,20 to <30,Yes,2016,ADDM Network*
Minnesota,10081.0,27.5,24.5,30.9,20 to <30,Yes,2018,ADDM Network*
Minnesota,16150.0,29.8,27.3,32.6,20 to <30,Yes,2020,ADDM Network*
Minnesota,17331.0,35.5,32.9,38.4,30+,Yes,2022,ADDM Network*
Minnesota,211436.0,5.6,5.3,5.9,<10,Yes,2000,Medicaid
Minnesota,220104.0,6.5,6.2,6.9,<10,Yes,2001,Medicaid
Minnesota,235826.0,7.4,7.1,7.8,<10,Yes,2002,Medicaid
Minnesota,250920.0,8.6,8.3,9.0,<10,Yes,2003,Medicaid
Minnesota,256887.0,10.0,9.6,10.4,10 to <20,Yes,2004,Medicaid
Minnesota,261827.0,11.9,11.5,12.3,10 to <20,Yes,2005,Medicaid
Minnesota,261461.0,13.4,13.0,13.8,10 to <20,Yes,2006,Medicaid
Minnesota,259444.0,15.0,14.5,15.5,10 to <20,Yes,2007,Medicaid
Minnesota,265014.0,16.3,15.8,16.8,10 to <20,Yes,2008,Medicaid
Minnesota,285345.0,16.9,16.5,17.4,10 to <20,Yes,2009,Medicaid
Minnesota,306592.0,18.0,17.5,18.5,10 to <20,Yes,2010,Medicaid
Minnesota,321655.0,18.9,18.4,19.3,10 to <20,Yes,2011,Medicaid
Minnesota,327751.0,19.7,19.3,20.2,10 to <20,Yes,2012,Medicaid
Minnesota,336896.0,20.7,20.2,21.2,20 to <30,Yes,2013,Medicaid
Minnesota,424570.0,19.6,19.2,20.1,10 to <20,Yes,2016,Medicaid
Minnesota,432295.0,23.0,22.6,23.5,20 to <30,Yes,2017,Medicaid
Minnesota,432869.0,26.1,25.6,26.5,20 to <30,Yes,2018,Medicaid
Minnesota,428709.0,27.9,27.4,28.4,20 to <30,Yes,2019,Medicaid
Minnesota,427732.0,27.8,27.3,28.3,20 to <30,Yes,2020,Medicaid
Minnesota,457006.0,28.8,28.3,29.3,20 to <30,Yes,2021,Medicaid
Minnesota,477374.0,30.3,29.8,30.8,30+,Yes,2022,Medicaid
Minnesota,1469.0,19.7,12.4,31.0,10 to <20,Yes,2007,National Survey of Children's Health†
Minnesota,1544.0,29.1,18.6,45.3,20 to <30,Yes,2011,National Survey of Children's Health†
Minnesota,3068.0,28.7,21.7,38.0,20 to <30,Yes,2020,National Survey of Children's Health†
Minnesota,1314.0,41.9,29.4,59.4,30+,Yes,2022,National Survey of Children's Health†
Minnesota,786077.0,3.0,2.9,3.1,<10,Yes,2000,Special Education Child Count
Minnesota,783356.0,4.0,3.8,4.1,<10,Yes,2001,Special Education Child Count
Minnesota,778097.0,5.0,4.9,5.2,<10,Yes,2002,Special Education Child Count
Minnesota,772648.0,6.2,6.0,6.4,<10,Yes,2003,Special Education Child Count
Minnesota,768673.0,7.7,7.5,7.9,<10,Yes,2004,Special Education Child Count
Minnesota,767680.0,9.1,8.9,9.3,<10,Yes,2005,Special Education Child Count
Minnesota,767534.0,10.5,10.3,10.7,10 to <20,Yes,2006,Special Education Child Count
Minnesota,764643.0,12.0,11.8,12.3,10 to <20,Yes,2007,Special Education Child Count
Minnesota,760544.0,13.5,13.2,13.8,10 to <20,Yes,2008,Special Education Child Count
Minnesota,760009.0,14.8,14.6,15.1,10 to <20,Yes,2009,Special Education Child Count
Minnesota,760671.0,15.8,15.5,16.1,10 to <20,Yes,2010,Special Education Child Count
Minnesota,761037.0,16.6,16.3,16.9,10 to <20,Yes,2011,Special Education Child Count
Minnesota,764964.0,17.3,17.0,17.6,10 to <20,Yes,2012,Special Education Child Count
Minnesota,770799.0,18.0,17.7,18.3,10 to <20,Yes,2013,Special Education Child Count
Minnesota,777804.0,18.4,18.1,18.7,10 to <20,Yes,2014,Special Education Child Count
Minnesota,785350.0,18.8,18.5,19.1,10 to <20,Yes,2015,Special Education Child Count
Minnesota,792766.0,19.4,19.1,19.7,10 to <20,Yes,2016,Special Education Child Count
Minnesota,798141.0,20.1,19.8,20.4,20 to <30,Yes,2017,Special Education Child Count
Minnesota,800538.0,21.2,20.8,21.5,20 to <30,Yes,2018,Special Education Child Count
Minnesota,802576.0,22.1,21.8,22.4,20 to <30,Yes,2019,Special Education Child Count
Minnesota,791230.0,23.6,23.3,24.0,20 to <30,Yes,2020,Special Education Child Count
Minnesota,785986.0,24.7,24.4,25.1,20 to <30,Yes,2021,Special Education Child Count
Minnesota,784822.0,26.5,26.1,26.8,20 to <30,Yes,2022,Special Education Child Count
Mississippi,228630.0,1.7,1.5,1.9,<10,Yes,2000,Medicaid
Mississippi,278423.0,1.6,1.5,1.8,<10,Yes,2001,Medicaid
Mississippi,285144.0,1.8,1.6,1.9,<10,Yes,2002,Medicaid
Mississippi,292406.0,1.9,1.8,2.1,<10,Yes,2003,Medicaid
Mississippi,293894.0,2.1,1.9,2.3,<10,Yes,2004,Medicaid
Mississippi,286454.0,2.4,2.2,2.5,<10,Yes,2005,Medicaid
Mississippi,271683.0,2.7,2.5,2.9,<10,Yes,2006,Medicaid
Mississippi,256308.0,3.7,3.5,3.9,<10,Yes,2007,Medicaid
Mississippi,259870.0,4.3,4.1,4.6,<10,Yes,2008,Medicaid
Mississippi,280702.0,4.9,4.6,5.1,<10,Yes,2009,Medicaid
Mississippi,298447.0,4.9,4.7,5.2,<10,Yes,2010,Medicaid
Mississippi,306190.0,5.2,5.0,5.5,<10,Yes,2011,Medicaid
Mississippi,308576.0,5.7,5.5,6.0,<10,Yes,2012,Medicaid
Mississippi,311352.0,5.8,5.6,6.1,<10,Yes,2013,Medicaid
Mississippi,398095.0,4.4,4.2,4.6,<10,Yes,2016,Medicaid
Mississippi,353346.0,9.5,9.1,9.8,<10,Yes,2020,Medicaid
Mississippi,375157.0,12.0,11.6,12.3,10 to <20,Yes,2022,Medicaid
Mississippi,2732.0,24.8,17.4,35.2,20 to <30,Yes,2020,National Survey of Children's Health†
Mississippi,1338.0,32.8,23.2,46.3,30+,Yes,2022,National Survey of Children's Health†
Mississippi,443941.0,0.8,0.7,0.9,<10,Yes,2000,Special Education Child Count
Mississippi,440575.0,1.0,0.9,1.0,<10,Yes,2001,Special Education Child Count
Mississippi,439882.0,1.1,1.0,1.2,<10,Yes,2002,Special Education Child Count
Mississippi,439395.0,1.3,1.2,1.4,<10,Yes,2003,Special Education Child Count
Mississippi,440374.0,1.5,1.4,1.6,<10,Yes,2004,Special Education Child Count
Mississippi,440341.0,1.6,1.5,1.7,<10,Yes,2005,Special Education Child Count
Mississippi,442463.0,1.9,1.8,2.0,<10,Yes,2006,Special Education Child Count
Mississippi,443977.0,2.3,2.1,2.4,<10,Yes,2007,Special Education Child Count
Mississippi,442501.0,2.8,2.7,3.0,<10,Yes,2008,Special Education Child Count
Mississippi,441712.0,3.9,3.7,4.1,<10,Yes,2009,Special Education Child Count
Mississippi,439999.0,4.7,4.5,4.9,<10,Yes,2010,Special Education Child Count
Mississippi,437230.0,5.5,5.3,5.7,<10,Yes,2011,Special Education Child Count
Mississippi,437820.0,6.4,6.2,6.7,<10,Yes,2012,Special Education Child Count
Mississippi,437397.0,7.2,7.0,7.5,<10,Yes,2013,Special Education Child Count
Mississippi,438190.0,7.9,7.7,8.2,<10,Yes,2014,Special Education Child Count
Mississippi,436866.0,8.6,8.3,8.9,<10,Yes,2015,Special Education Child Count
Mississippi,433377.0,9.5,9.2,9.8,<10,Yes,2016,Special Education Child Count
Mississippi,428978.0,10.4,10.1,10.7,10 to <20,Yes,2017,Special Education Child Count
Mississippi,422177.0,11.2,10.9,11.5,10 to <20,Yes,2018,Special Education Child Count
Mississippi,416237.0,11.8,11.5,12.1,10 to <20,Yes,2019,Special Education Child Count
Mississippi,399126.0,12.6,12.2,12.9,10 to <20,Yes,2020,Special Education Child Count
Mississippi,393903.0,13.6,13.2,13.9,10 to <20,Yes,2021,Special Education Child Count
Mississippi,391884.0,14.7,14.3,15.1,10 to <20,Yes,2022,Special Education Child Count
Missouri,28049.0,7.3,6.4,8.4,<10,Yes,2002,ADDM Network*
Missouri,26970.0,8.2,7.2,9.3,<10,Yes,2004,ADDM Network*
Missouri,26533.0,12.1,10.9,13.5,10 to <20,Yes,2006,ADDM Network*
Missouri,25668.0,13.9,12.5,15.4,10 to <20,Yes,2008,ADDM Network*
Missouri,25367.0,14.2,12.8,15.7,10 to <20,Yes,2010,ADDM Network*
Missouri,25870.0,11.6,10.4,13.0,10 to <20,Yes,2012,ADDM Network*
Missouri,25333.0,14.1,12.7,15.6,10 to <20,Yes,2014,ADDM Network*
Missouri,15635.0,13.6,11.9,15.6,10 to <20,Yes,2016,ADDM Network*
Missouri,24481.0,16.5,15.0,18.2,10 to <20,Yes,2018,ADDM Network*
Missouri,24561.0,24.5,22.6,26.5,20 to <30,Yes,2020,ADDM Network*
Missouri,19968.0,32.1,29.7,34.6,30+,Yes,2022,ADDM Network*
Missouri,400654.0,2.7,2.5,2.9,<10,Yes,2000,Medicaid
Missouri,429228.0,3.0,2.8,3.1,<10,Yes,2001,Medicaid
Missouri,436980.0,3.4,3.2,3.6,<10,Yes,2002,Medicaid
Missouri,463143.0,3.6,3.4,3.8,<10,Yes,2003,Medicaid
Missouri,478509.0,4.1,4.0,4.3,<10,Yes,2004,Medicaid
Missouri,475524.0,4.9,4.7,5.1,<10,Yes,2005,Medicaid
Missouri,433668.0,6.0,5.8,6.2,<10,Yes,2006,Medicaid
Missouri,422932.0,6.9,6.6,7.1,<10,Yes,2007,Medicaid
Missouri,409920.0,7.7,7.4,8.0,<10,Yes,2008,Medicaid
Missouri,429761.0,8.0,7.7,8.3,<10,Yes,2009,Medicaid
Missouri,448040.0,8.6,8.3,8.9,<10,Yes,2010,Medicaid
Missouri,457339.0,9.7,9.4,10.0,<10,Yes,2011,Medicaid
Missouri,458233.0,10.5,10.2,10.8,10 to <20,Yes,2012,Medicaid
Missouri,452586.0,11.3,11.0,11.6,10 to <20,Yes,2013,Medicaid
Missouri,515135.0,14.3,13.9,14.6,10 to <20,Yes,2016,Medicaid
Missouri,538822.0,15.1,14.7,15.4,10 to <20,Yes,2017,Medicaid
Missouri,536738.0,15.9,15.5,16.2,10 to <20,Yes,2018,Medicaid
Missouri,501817.0,17.6,17.3,18.0,10 to <20,Yes,2019,Medicaid
Missouri,485124.0,18.4,18.0,18.8,10 to <20,Yes,2020,Medicaid
Missouri,532893.0,19.0,18.6,19.3,10 to <20,Yes,2021,Medicaid
Missouri,572221.0,20.3,19.9,20.7,20 to <30,Yes,2022,Medicaid
Missouri,1602.0,21.1,13.8,32.1,20 to <30,Yes,2011,National Survey of Children's Health†
Missouri,2985.0,23.1,17.3,30.7,20 to <30,Yes,2020,National Survey of Children's Health†
Missouri,1390.0,21.9,12.8,37.1,20 to <30,Yes,2022,National Survey of Children's Health†
Missouri,821734.0,1.8,1.7,1.9,<10,Yes,2000,Special Education Child Count
Missouri,821837.0,2.2,2.1,2.3,<10,Yes,2001,Special Education Child Count
Missouri,829081.0,2.6,2.5,2.7,<10,Yes,2002,Special Education Child Count
Missouri,827353.0,3.1,2.9,3.2,<10,Yes,2003,Special Education Child Count
Missouri,827519.0,3.6,3.5,3.8,<10,Yes,2004,Special Education Child Count
Missouri,831636.0,4.2,4.1,4.4,<10,Yes,2005,Special Education Child Count
Missouri,831553.0,5.0,4.9,5.2,<10,Yes,2006,Special Education Child Count
Missouri,827183.0,5.7,5.5,5.8,<10,Yes,2007,Special Education Child Count
Missouri,824746.0,6.4,6.2,6.6,<10,Yes,2008,Special Education Child Count
Missouri,823382.0,7.1,6.9,7.3,<10,Yes,2009,Special Education Child Count
Missouri,820839.0,7.9,7.7,8.1,<10,Yes,2010,Special Education Child Count
Missouri,816789.0,8.7,8.5,8.9,<10,Yes,2011,Special Education Child Count
Missouri,816438.0,9.5,9.3,9.7,<10,Yes,2012,Special Education Child Count
Missouri,817104.0,10.0,9.8,10.2,10 to <20,Yes,2013,Special Education Child Count
Missouri,817879.0,10.8,10.6,11.1,10 to <20,Yes,2014,Special Education Child Count
Missouri,818676.0,11.7,11.4,11.9,10 to <20,Yes,2015,Special Education Child Count
Missouri,817133.0,12.4,12.2,12.7,10 to <20,Yes,2016,Special Education Child Count
Missouri,816370.0,13.2,13.0,13.5,10 to <20,Yes,2017,Special Education Child Count
Missouri,813878.0,14.2,13.9,14.4,10 to <20,Yes,2018,Special Education Child Count
Missouri,810307.0,15.1,14.9,15.4,10 to <20,Yes,2019,Special Education Child Count
Missouri,795244.0,16.2,15.9,16.5,10 to <20,Yes,2020,Special Education Child Count
Missouri,793502.0,17.0,16.7,17.3,10 to <20,Yes,2021,Special Education Child Count
Missouri,794878.0,18.4,18.1,18.7,10 to <20,Yes,2022,Special Education Child Count
Montana,33967.0,5.2,4.4,6.0,<10,Yes,2000,Medicaid
Montana,36697.0,6.2,5.4,7.0,<10,Yes,2001,Medicaid
Montana,38320.0,7.3,6.5,8.2,<10,Yes,2002,Medicaid
Montana,40132.0,8.7,7.8,9.6,<10,Yes,2003,Medicaid
Montana,41884.0,7.8,7.0,8.7,<10,Yes,2004,Medicaid
Montana,41867.0,9.0,8.1,9.9,<10,Yes,2005,Medicaid
Montana,41132.0,10.8,9.8,11.8,10 to <20,Yes,2006,Medicaid
Montana,40205.0,12.8,11.8,14.0,10 to <20,Yes,2007,Medicaid
Montana,39946.0,14.1,13.0,15.3,10 to <20,Yes,2008,Medicaid
Montana,44158.0,14.1,13.0,15.2,10 to <20,Yes,2009,Medicaid
Montana,54888.0,13.9,13.0,15.0,10 to <20,Yes,2010,Medicaid
Montana,59924.0,14.3,13.4,15.3,10 to <20,Yes,2011,Medicaid
Montana,61412.0,16.7,15.7,17.8,10 to <20,Yes,2012,Medicaid
Montana,67619.0,16.4,15.4,17.4,10 to <20,Yes,2013,Medicaid
Montana,100134.0,15.6,14.8,16.4,10 to <20,Yes,2016,Medicaid
Montana,107779.0,15.2,14.4,15.9,10 to <20,Yes,2017,Medicaid
Montana,110988.0,14.7,14.0,15.4,10 to <20,Yes,2018,Medicaid
Montana,110740.0,15.6,14.9,16.4,10 to <20,Yes,2019,Medicaid
Montana,99110.0,16.5,15.7,17.3,10 to <20,Yes,2020,Medicaid
Montana,104602.0,16.3,15.5,17.1,10 to <20,Yes,2021,Medicaid
Montana,108540.0,16.8,16.0,17.6,10 to <20,Yes,2022,Medicaid
Montana,1564.0,25.3,16.4,39.0,20 to <30,Yes,2011,National Survey of Children's Health†
Montana,2985.0,25.3,17.5,36.2,20 to <30,Yes,2020,National Survey of Children's Health†
Montana,1388.0,33.8,23.4,48.6,30+,Yes,2022,National Survey of Children's Health†
Montana,143919.0,1.1,1.0,1.3,<10,Yes,2000,Special Education Child Count
Montana,141117.0,1.3,1.2,1.6,<10,Yes,2001,Special Education Child Count
Montana,139124.0,1.6,1.4,1.9,<10,Yes,2002,Special Education Child Count
Montana,137195.0,1.7,1.5,2.0,<10,Yes,2003,Special Education Child Count
Montana,134039.0,2.1,1.9,2.4,<10,Yes,2005,Special Education Child Count
Montana,131613.0,2.8,2.6,3.1,<10,Yes,2007,Special Education Child Count
Montana,130134.0,3.3,3.0,3.6,<10,Yes,2008,Special Education Child Count
Montana,129227.0,4.2,3.8,4.5,<10,Yes,2010,Special Education Child Count
Montana,129177.0,3.0,2.7,3.3,<10,Yes,2011,Special Education Child Count
Montana,129878.0,3.5,3.2,3.8,<10,Yes,2012,Special Education Child Count
Montana,130651.0,3.9,3.6,4.2,<10,Yes,2013,Special Education Child Count
Montana,131621.0,4.4,4.0,4.8,<10,Yes,2014,Special Education Child Count
Montana,132659.0,4.9,4.6,5.3,<10,Yes,2015,Special Education Child Count
Montana,133631.0,5.5,5.1,5.9,<10,Yes,2016,Special Education Child Count
Montana,134031.0,6.4,6.0,6.8,<10,Yes,2017,Special Education Child Count
Montana,134853.0,6.6,6.2,7.1,<10,Yes,2018,Special Education Child Count
Montana,135611.0,7.0,6.6,7.5,<10,Yes,2019,Special Education Child Count
Montana,133035.0,7.4,7.0,7.9,<10,Yes,2020,Special Education Child Count
Montana,135786.0,7.6,7.2,8.1,<10,Yes,2021,Special Education Child Count
Montana,137323.0,8.3,7.8,8.8,<10,Yes,2022,Special Education Child Count
Nebraska,97463.0,1.1,0.9,1.4,<10,Yes,2000,Medicaid
Nebraska,105601.0,1.1,0.9,1.3,<10,Yes,2001,Medicaid
Nebraska,112447.0,1.2,1.0,1.4,<10,Yes,2002,Medicaid
Nebraska,105068.0,1.5,1.3,1.8,<10,Yes,2003,Medicaid
Nebraska,108382.0,1.9,1.6,2.1,<10,Yes,2004,Medicaid
Nebraska,109311.0,2.2,1.9,2.5,<10,Yes,2005,Medicaid
Nebraska,109768.0,2.6,2.3,2.9,<10,Yes,2006,Medicaid
Nebraska,110296.0,2.8,2.5,3.1,<10,Yes,2007,Medicaid
Nebraska,111808.0,3.1,2.8,3.4,<10,Yes,2008,Medicaid
Nebraska,119120.0,3.1,2.8,3.5,<10,Yes,2009,Medicaid
Nebraska,129365.0,2.7,2.5,3.0,<10,Yes,2010,Medicaid
Nebraska,136481.0,2.9,2.6,3.2,<10,Yes,2011,Medicaid
Nebraska,138070.0,3.5,3.2,3.8,<10,Yes,2012,Medicaid
Nebraska,140391.0,4.0,3.6,4.3,<10,Yes,2013,Medicaid
Nebraska,141335.0,5.8,5.4,6.2,<10,Yes,2016,Medicaid
Nebraska,141937.0,7.1,6.6,7.5,<10,Yes,2017,Medicaid
Nebraska,144441.0,8.0,7.6,8.5,<10,Yes,2018,Medicaid
Nebraska,144151.0,8.7,8.3,9.2,<10,Yes,2019,Medicaid
Nebraska,144317.0,10.0,9.5,10.5,10 to <20,Yes,2020,Medicaid
Nebraska,153886.0,13.0,12.5,13.6,10 to <20,Yes,2021,Medicaid
Nebraska,162020.0,15.5,14.9,16.1,10 to <20,Yes,2022,Medicaid
Nebraska,1570.0,12.5,8.2,19.0,10 to <20,Yes,2011,National Survey of Children's Health†
Nebraska,3139.0,24.9,16.7,36.9,20 to <30,Yes,2020,National Survey of Children's Health†
Nebraska,1776.0,18.0,12.6,25.6,10 to <20,Yes,2022,National Survey of Children's Health†
Nebraska,261089.0,1.1,1.0,1.3,<10,Yes,2000,Special Education Child Count
Nebraska,259797.0,1.4,1.3,1.6,<10,Yes,2001,Special Education Child Count
Nebraska,259471.0,1.7,1.6,1.9,<10,Yes,2002,Special Education Child Count
Nebraska,258903.0,2.0,1.9,2.2,<10,Yes,2003,Special Education Child Count
Nebraska,258442.0,2.5,2.3,2.7,<10,Yes,2004,Special Education Child Count
Nebraska,258295.0,3.1,2.9,3.3,<10,Yes,2005,Special Education Child Count
Nebraska,258567.0,3.8,3.6,4.0,<10,Yes,2006,Special Education Child Count
Nebraska,258565.0,4.5,4.3,4.8,<10,Yes,2007,Special Education Child Count
Nebraska,258754.0,5.3,5.0,5.6,<10,Yes,2008,Special Education Child Count
Nebraska,259837.0,6.1,5.8,6.4,<10,Yes,2009,Special Education Child Count
Nebraska,262433.0,6.6,6.3,6.9,<10,Yes,2010,Special Education Child Count
Nebraska,264594.0,7.5,7.1,7.8,<10,Yes,2011,Special Education Child Count
Nebraska,267579.0,8.1,7.8,8.4,<10,Yes,2012,Special Education Child Count
Nebraska,269195.0,8.9,8.6,9.3,<10,Yes,2013,Special Education Child Count
Nebraska,273431.0,9.5,9.1,9.8,<10,Yes,2014,Special Education Child Count
Nebraska,276975.0,10.1,9.8,10.5,10 to <20,Yes,2015,Special Education Child Count
Nebraska,280444.0,10.8,10.4,11.2,10 to <20,Yes,2016,Special Education Child Count
Nebraska,283021.0,11.8,11.4,12.2,10 to <20,Yes,2017,Special Education Child Count
Nebraska,284582.0,12.7,12.3,13.2,10 to <20,Yes,2018,Special Education Child Count
Nebraska,286688.0,13.4,13.0,13.8,10 to <20,Yes,2019,Special Education Child Count
Nebraska,284017.0,14.6,14.1,15.0,10 to <20,Yes,2020,Special Education Child Count
Nebraska,285114.0,15.5,15.1,16.0,10 to <20,Yes,2021,Special Education Child Count
Nebraska,286802.0,17.0,16.6,17.5,10 to <20,Yes,2022,Special Education Child Count
Nevada,50946.0,3.3,2.9,3.9,<10,Yes,2000,Medicaid
Nevada,53446.0,4.3,3.8,4.9,<10,Yes,2001,Medicaid
Nevada,78225.0,3.8,3.4,4.3,<10,Yes,2002,Medicaid
Nevada,88989.0,3.7,3.3,4.1,<10,Yes,2003,Medicaid
Nevada,96629.0,3.3,3.0,3.7,<10,Yes,2004,Medicaid
Nevada,94321.0,3.6,3.3,4.0,<10,Yes,2005,Medicaid
Nevada,90241.0,5.3,4.8,5.8,<10,Yes,2006,Medicaid
Nevada,89910.0,5.5,5.0,6.0,<10,Yes,2007,Medicaid
Nevada,98538.0,4.7,4.3,5.2,<10,Yes,2008,Medicaid
Nevada,119861.0,4.9,4.5,5.3,<10,Yes,2009,Medicaid
Nevada,149204.0,3.9,3.6,4.2,<10,Yes,2010,Medicaid
Nevada,163821.0,4.1,3.8,4.5,<10,Yes,2011,Medicaid
Nevada,173215.0,4.9,4.5,5.2,<10,Yes,2012,Medicaid
Nevada,179793.0,5.5,5.1,5.8,<10,Yes,2013,Medicaid
Nevada,269549.0,7.9,7.5,8.2,<10,Yes,2016,Medicaid
